naics_sector,total_entities,total,fiscal_year
Repair services,1289.0,5260564,2014
All Other Sectors,1842.0,12626415,2014
"Home centers, retail",24.0,7583726,2014
Unclassified,3055.0,3688456,2014
"Restaurants, bars, concessionaires and caterers",3922.0,35812278,2014
Motor Vehicle Sales Tax,,32823000,2014
Hotels,92.0,9276074,2014
"Restaurants, bars, concessionaires and caterers",2637.0,34502428,2015
Hotels,89.0,9195607,2015
Services other than repair services,2203.0,16518774,2015
Repair services,886.0,5308800,2015
Rentals except car and truck rentals,385.0,4553050,2015
Car and truck rental,87.0,7698409,2015
Other retail,2660.0,29453222,2015
"Office supplies stores, retail",42.0,1903074,2015
"Department stores, retail",19.0,10226457,2015
"Pharmacies, retail",38.0,3863442,2015
"Convenience stores, retail",154.0,4026074,2015
"Home centers, retail",23.0,8382955,2015
"Computer and software stores, retail",93.0,4636969,2015
"Appliance, other electronics, retail",94.0,2766941,2015
Furniture stores retail,128.0,4020509,2015
Total Retail,3578.0,80905723,2015
Wholesale,1568.0,21849869,2015
Telecommunications,187.0,19010115,2015
Public Utilities,53.0,9112258,2015
Manufacturing,1088.0,8962672,2015
Construction,695.0,5843015,2015
"Liquor and beer stores, retail",99.0,6563944,2015
"Supermarkets, retail",228.0,5062136,2015
Unclassified,933.0,710179,2015
All Other Sectors,1010.0,12466313,2015
Motor Vehicle Sales Tax,,35806085,2015
"Restaurants, bars, concessionaires and caterers",2800.0,37504746,2016
Construction,772.0,7151643,2016
Manufacturing,1135.0,8254960,2016
Public Utilities,57.0,8390502,2016
Telecommunications,201.0,18774299,2016
Wholesale,1706.0,24290939,2016
Total Retail,3914.0,83878313,2016
Furniture stores retail,127.0,4273710,2016
"Appliance, other electronics, retail",110.0,2623905,2016
"Computer and software stores, retail",95.0,5020270,2016
"Home centers, retail",22.0,8841116,2016
"Supermarkets, retail",255.0,4892492,2016
"Convenience stores, retail",185.0,4229249,2016
"Liquor and beer stores, retail",114.0,6706075,2016
"Pharmacies, retail",38.0,3839583,2016
"Department stores, retail",18.0,9338267,2016
"Office supplies stores, retail",40.0,1587149,2016
Other retail,2910.0,32526497,2016
Car and truck rental,91.0,8167644,2016
Rentals except car and truck rentals,410.0,4861893,2016
Repair services,925.0,5552811,2016
Services other than repair services,2444.0,18213468,2016
Hotels,85.0,9142810,2016
All Other Sectors,1119.0,14063737,2016
Unclassified,1358.0,1270512,2016
Motor Vehicle Sales Tax,,38127602,2016
Motor Vehicle Sales Tax,,38444000,2017
Unclassified,1434.0,935113,2017
Other retail,3029.0,32478611,2017
"Office supplies stores, retail",42.0,1819252,2017
"Department stores, retail",19.0,10460051,2017
"Pharmacies, retail",38.0,3891345,2017
"Liquor and beer stores, retail",126.0,6935684,2017
"Supermarkets, retail",239.0,4906762,2017
