name,fiscal_year,total,month_name,month,fiscal_month,year
real_estate,2018,64065554.0,jan,1,7,2018
other_taxes,2018,6000.0,jan,1,7,2018
all_taxes,2018,328432563.0,jan,1,7,2018
all_taxes,2018,511557464.0,feb,2,8,2018
real_estate,2018,346541602.0,feb,2,8,2018
soda,2018,5844071.0,feb,2,8,2018
outdoor_ads,2018,244441.0,feb,2,8,2018
real_estate_transfer,2018,25047392.0,feb,2,8,2018
valet,2018,100643.0,feb,2,8,2018
parking,2018,7342170.0,feb,2,8,2018
tobacco,2018,781604.0,feb,2,8,2018
amusement,2018,2594081.0,feb,2,8,2018
sales,2018,15822799.0,feb,2,8,2018
other_taxes,2018,1000.0,feb,2,8,2018
net_profits,2018,1112122.0,feb,2,8,2018
net_profits_pica,2018,539379.0,feb,2,8,2018
net_profits_city,2018,572743.0,feb,2,8,2018
earnings,2018,1098883.0,feb,2,8,2018
earnings_pica,2018,379682.0,feb,2,8,2018
earnings_city,2018,719201.0,feb,2,8,2018
wage,2018,141146089.0,feb,2,8,2018
wage_pica,2018,33036465.0,feb,2,8,2018
wage_city,2018,108109624.0,feb,2,8,2018
birt,2018,-2163907.0,feb,2,8,2018
net_profits_pica,2018,2560004.0,mar,3,9,2018
net_profits_city,2018,2720357.0,mar,3,9,2018
wage,2018,168162227.0,mar,3,9,2018
earnings_pica,2018,701534.0,mar,3,9,2018
earnings_city,2018,1328860.0,mar,3,9,2018
earnings,2018,2030394.0,mar,3,9,2018
net_profits,2018,5280361.0,mar,3,9,2018
tobacco,2018,3503.0,mar,3,9,2018
sales,2018,12997255.0,mar,3,9,2018
amusement,2018,1083610.0,mar,3,9,2018
wage_pica,2018,39359763.0,mar,3,9,2018
parking,2018,7812644.0,mar,3,9,2018
valet,2018,125923.0,mar,3,9,2018
real_estate_transfer,2018,19049560.0,mar,3,9,2018
outdoor_ads,2018,202733.0,mar,3,9,2018
soda,2018,5451102.0,mar,3,9,2018
birt,2018,40304496.0,mar,3,9,2018
wage_city,2018,128802464.0,mar,3,9,2018
other_taxes,2018,5.0,mar,3,9,2018
real_estate,2018,114725269.0,mar,3,9,2018
all_taxes,2018,334607781.0,mar,3,9,2018
wage,2018,191920205.0,apr,4,10,2018
earnings_city,2018,3309810.0,apr,4,10,2018
earnings_pica,2018,1747850.0,apr,4,10,2018
earnings,2018,5057660.0,apr,4,10,2018
net_profits_city,2018,15486042.0,apr,4,10,2018
net_profits_pica,2018,14607866.0,apr,4,10,2018
net_profits,2018,30093908.0,apr,4,10,2018
birt,2018,274772962.0,apr,4,10,2018
sales,2018,11415479.0,apr,4,10,2018
amusement,2018,3307297.0,apr,4,10,2018
tobacco,2018,5658.0,apr,4,10,2018
parking,2018,7676366.0,apr,4,10,2018
valet,2018,138242.0,apr,4,10,2018
real_estate_transfer,2018,24792196.0,apr,4,10,2018
outdoor_ads,2018,215251.0,apr,4,10,2018
soda,2018,6521592.0,apr,4,10,2018
other_taxes,2018,116.0,apr,4,10,2018
wage_pica,2018,44924879.0,apr,4,10,2018
all_taxes,2018,528781598.0,apr,4,10,2018
wage_city,2018,146995326.0,apr,4,10,2018
real_estate,2018,34145261.0,apr,4,10,2018
other_taxes,2018,80.0,may,5,11,2018
wage_city,2018,121153664.0,may,5,11,2018
wage_pica,2018,37023649.0,may,5,11,2018
wage,2018,158177313.0,may,5,11,2018
earnings_city,2018,3741489.0,may,5,11,2018
earnings_pica,2018,1975344.0,may,5,11,2018
earnings,2018,5716833.0,may,5,11,2018
net_profits_city,2018,5297925.0,may,5,11,2018
net_profits_pica,2018,4989804.0,may,5,11,2018
net_profits,2018,10287729.0,may,5,11,2018
birt,2018,44412652.0,may,5,11,2018
sales,2018,13984427.0,may,5,11,2018
amusement,2018,1440739.0,may,5,11,2018
tobacco,2018,3316.0,may,5,11,2018
parking,2018,8172403.0,may,5,11,2018
valet,2018,152201.0,may,5,11,2018
real_estate_transfer,2018,34366760.0,may,5,11,2018
outdoor_ads,2018,281299.0,may,5,11,2018
real_estate,2018,15254148.0,may,5,11,2018
soda,2018,6229168.0,may,5,11,2018
all_taxes,2018,254490271.0,may,5,11,2018
all_taxes,2018,188822378.0,jun,6,12,2018
wage_pica,2018,31225203.0,jun,6,12,2018
other_taxes,2018,0.0,jun,6,12,2018
soda,2018,6947983.0,jun,6,12,2018
outdoor_ads,2018,291678.0,jun,6,12,2018
real_estate_transfer,2018,26908688.0,jun,6,12,2018
valet,2018,156432.0,jun,6,12,2018
parking,2018,8048887.0,jun,6,12,2018
tobacco,2018,3288.0,jun,6,12,2018
amusement,2018,626373.0,jun,6,12,2018
sales,2018,27397162.0,jun,6,12,2018
birt,2018,10976630.0,jun,6,12,2018
net_profits,2018,4673985.0,jun,6,12,2018
net_profits_pica,2018,2839371.0,jun,6,12,2018
net_profits_city,2018,1834614.0,jun,6,12,2018
earnings,2018,267932.0,jun,6,12,2018
earnings_pica,2018,232577.0,jun,6,12,2018
earnings_city,2018,35355.0,jun,6,12,2018
wage,2018,131878080.0,jun,6,12,2018
wage_city,2018,100652877.0,jun,6,12,2018
real_estate,2018,4942411.0,jun,6,12,2018
wage_pica,2019,43153311.0,jul,7,1,2018
wage,2019,184371760.0,jul,7,1,2018
earnings_city,2019,766815.0,jul,7,1,2018
earnings_pica,2019,404818.0,jul,7,1,2018
earnings,2019,1171633.0,jul,7,1,2018
net_profits_city,2019,771516.0,jul,7,1,2018
net_profits_pica,2019,726572.0,jul,7,1,2018
net_profits,2019,1498088.0,jul,7,1,2018
wage_city,2019,141218449.0,jul,7,1,2018
birt,2019,5599696.0,jul,7,1,2018
amusement,2019,2481329.0,jul,7,1,2018
tobacco,2019,3947.0,jul,7,1,2018
parking,2019,8057819.0,jul,7,1,2018
valet,2019,149240.0,jul,7,1,2018
real_estate_transfer,2019,37964424.0,jul,7,1,2018
outdoor_ads,2019,247568.0,jul,7,1,2018
soda,2019,7086924.0,jul,7,1,2018
other_taxes,2019,100.0,jul,7,1,2018
sales,2019,25937641.0,jul,7,1,2018
real_estate,2019,8671957.0,jul,7,1,2018
all_taxes,2019,238957425.0,jul,7,1,2018
all_taxes,2019,210957243.0,aug,8,2,2018
net_profits,2019,1152483.0,aug,8,2,2018
wage_city,2019,118137385.0,aug,8,2,2018
other_taxes,2019,12.0,aug,8,2,2018
soda,2019,6450119.0,aug,8,2,2018
outdoor_ads,2019,274487.0,aug,8,2,2018
real_estate_transfer,2019,30659446.0,aug,8,2,2018
valet,2019,156349.0,aug,8,2,2018
parking,2019,7459578.0,aug,8,2,2018
tobacco,2019,2143.0,aug,8,2,2018
real_estate,2019,9492828.0,aug,8,2,2018
amusement,2019,6743124.0,aug,8,2,2018
birt,2019,2267450.0,aug,8,2,2018
net_profits_pica,2019,558954.0,aug,8,2,2018
net_profits_city,2019,593529.0,aug,8,2,2018
earnings,2019,1335523.0,aug,8,2,2018
earnings_pica,2019,461445.0,aug,8,2,2018
earnings_city,2019,874078.0,aug,8,2,2018
wage,2019,154238057.0,aug,8,2,2018
wage_pica,2019,36100672.0,aug,8,2,2018
sales,2019,27846715.0,aug,8,2,2018
wage,2019,158142425.0,sep,9,3,2018
earnings_city,2019,387619.0,sep,9,3,2018
earnings_pica,2019,204368.0,sep,9,3,2018
earnings,2019,591987.0,sep,9,3,2018
net_profits_city,2019,748664.0,sep,9,3,2018
net_profits_pica,2019,702010.0,sep,9,3,2018
net_profits,2019,1450674.0,sep,9,3,2018
wage_pica,2019,37007288.0,sep,9,3,2018
birt,2019,15751961.0,sep,9,3,2018
amusement,2019,982817.0,sep,9,3,2018
tobacco,2019,1453.0,sep,9,3,2018
parking,2019,8028038.0,sep,9,3,2018
valet,2019,158242.0,sep,9,3,2018
real_estate_transfer,2019,20044245.0,sep,9,3,2018
outdoor_ads,2019,246147.0,sep,9,3,2018
soda,2019,6565861.0,sep,9,3,2018
sales,2019,14688735.0,sep,9,3,2018
wage_city,2019,121135137.0,sep,9,3,2018
real_estate,2019,6488573.0,sep,9,3,2018
other_taxes,2019,0.0,sep,9,3,2018
all_taxes,2019,195227492.0,sep,9,3,2018
wage_city,2019,142433110.0,oct,10,4,2018
wage_pica,2019,43526074.0,oct,10,4,2018
wage,2019,185959184.0,oct,10,4,2018
earnings_city,2019,914297.0,oct,10,4,2018
earnings_pica,2019,485282.0,oct,10,4,2018
earnings,2019,1399579.0,oct,10,4,2018
net_profits_city,2019,1734412.0,oct,10,4,2018
net_profits_pica,2019,1633469.0,oct,10,4,2018
