date,year,month,fiscal_year,total,naics_sector
2022-09-30,2022,9,2023,1649452.6805300384,"Arts, Entertainment, and Other Recreation"
2022-10-31,2022,10,2023,1941092.8619775015,"Arts, Entertainment, and Other Recreation"
2022-11-30,2022,11,2023,1671130.402045852,"Arts, Entertainment, and Other Recreation"
2022-12-31,2022,12,2023,1612369.8896115841,"Arts, Entertainment, and Other Recreation"
2023-01-31,2023,1,2023,2302922.230305468,"Arts, Entertainment, and Other Recreation"
2023-02-28,2023,2,2023,1612402.2189343185,"Arts, Entertainment, and Other Recreation"
2023-03-31,2023,3,2023,1845926.1715485882,"Arts, Entertainment, and Other Recreation"
2023-04-30,2023,4,2023,2199811.1106589427,"Arts, Entertainment, and Other Recreation"
2023-05-31,2023,5,2023,1651664.4216080136,"Arts, Entertainment, and Other Recreation"
2023-06-30,2023,6,2023,1511653.082894001,"Arts, Entertainment, and Other Recreation"
2023-07-31,2023,7,2024,2178590.864988051,"Arts, Entertainment, and Other Recreation"
2023-08-31,2023,8,2024,1597129.3669229979,"Arts, Entertainment, and Other Recreation"
2023-09-30,2023,9,2024,1732596.609696992,"Arts, Entertainment, and Other Recreation"
2023-10-31,2023,10,2024,2042184.1030305435,"Arts, Entertainment, and Other Recreation"
2023-11-30,2023,11,2024,1740098.0631470105,"Arts, Entertainment, and Other Recreation"
2023-12-31,2023,12,2024,1722829.1876489022,"Arts, Entertainment, and Other Recreation"
2024-01-31,2024,1,2024,2381339.0934956917,"Arts, Entertainment, and Other Recreation"
2024-02-29,2024,2,2024,1800940.1880184382,"Arts, Entertainment, and Other Recreation"
2024-03-31,2024,3,2024,2016615.5394582497,"Arts, Entertainment, and Other Recreation"
2024-04-30,2024,4,2024,1870410.963299532,"Arts, Entertainment, and Other Recreation"
2024-05-31,2024,5,2024,1985057.6916580496,"Arts, Entertainment, and Other Recreation"
2024-06-30,2024,6,2024,1680005.0341220659,"Arts, Entertainment, and Other Recreation"
2024-07-31,2024,7,2025,1928086.7518409959,"Arts, Entertainment, and Other Recreation"
2024-08-31,2024,8,2025,2029710.2093247457,"Arts, Entertainment, and Other Recreation"
2024-09-30,2024,9,2025,1803755.9427772802,"Arts, Entertainment, and Other Recreation"
2024-10-31,2024,10,2025,2109188.9533707607,"Arts, Entertainment, and Other Recreation"
2024-11-30,2024,11,2025,1852763.1945258577,"Arts, Entertainment, and Other Recreation"
2024-12-31,2024,12,2025,1690633.0506468131,"Arts, Entertainment, and Other Recreation"
2025-01-31,2025,1,2025,2577653.690885483,"Arts, Entertainment, and Other Recreation"
2025-02-28,2025,2,2025,1865739.4242919697,"Arts, Entertainment, and Other Recreation"
2025-03-31,2025,3,2025,2101669.408267032,"Arts, Entertainment, and Other Recreation"
2025-04-30,2025,4,2025,2131199.4442277476,"Arts, Entertainment, and Other Recreation"
2025-05-31,2025,5,2025,2011290.2951948948,"Arts, Entertainment, and Other Recreation"
2025-06-30,2025,6,2025,1739592.0016477383,"Arts, Entertainment, and Other Recreation"
2013-07-31,2013,7,2014,2996596.9286730327,Banking & Credit Unions
2013-08-31,2013,8,2014,2764653.8428142914,Banking & Credit Unions
2013-09-30,2013,9,2014,2618420.0822025114,Banking & Credit Unions
2013-10-31,2013,10,2014,3103058.976295934,Banking & Credit Unions
2013-11-30,2013,11,2014,2706674.2026940063,Banking & Credit Unions
2013-12-31,2013,12,2014,2563921.295280533,Banking & Credit Unions
2014-01-31,2014,1,2014,3801261.224822108,Banking & Credit Unions
2014-02-28,2014,2,2014,2753486.7514656214,Banking & Credit Unions
2014-03-31,2014,3,2014,3100130.07712167,Banking & Credit Unions
2014-04-30,2014,4,2014,3452601.0879440014,Banking & Credit Unions
2014-05-31,2014,5,2014,2883886.492119713,Banking & Credit Unions
2014-06-30,2014,6,2014,2615518.646836523,Banking & Credit Unions
2014-07-31,2014,7,2015,3235587.9715405093,Banking & Credit Unions
2014-08-31,2014,8,2015,2697404.4857735923,Banking & Credit Unions
2014-09-30,2014,9,2015,2734807.2026096494,Banking & Credit Unions
2014-10-31,2014,10,2015,3232007.7714324854,Banking & Credit Unions
2014-11-30,2014,11,2015,2834720.655686365,Banking & Credit Unions
2014-12-31,2014,12,2015,2718258.4592099637,Banking & Credit Unions
2015-01-31,2015,1,2015,3826358.5515847686,Banking & Credit Unions
2015-02-28,2015,2,2015,2822513.152069041,Banking & Credit Unions
2015-03-31,2015,3,2015,3164783.627350916,Banking & Credit Unions
2015-04-30,2015,4,2015,3794980.979305703,Banking & Credit Unions
2015-05-31,2015,5,2015,2826478.5668058316,Banking & Credit Unions
2015-06-30,2015,6,2015,2678844.4589815997,Banking & Credit Unions
2015-07-31,2015,7,2016,3476512.696392912,Banking & Credit Unions
2015-08-31,2015,8,2016,2614546.3704906786,Banking & Credit Unions
2015-09-30,2015,9,2016,2851275.351194351,Banking & Credit Unions
2015-10-31,2015,10,2016,3358188.1279227976,Banking & Credit Unions
2015-11-30,2015,11,2016,2960694.1132590887,Banking & Credit Unions
2015-12-31,2015,12,2016,2870318.313791385,Banking & Credit Unions
2016-01-31,2016,1,2016,3836759.319776958,Banking & Credit Unions
2016-02-29,2016,2,2016,2983796.104357721,Banking & Credit Unions
2016-03-31,2016,3,2016,3389247.001112609,Banking & Credit Unions
2016-04-30,2016,4,2016,3199044.9684708943,Banking & Credit Unions
2016-05-31,2016,5,2016,3373127.9782794155,Banking & Credit Unions
2016-06-30,2016,6,2016,2837067.669900049,Banking & Credit Unions
2016-07-31,2016,7,2017,3143273.2535627,Banking & Credit Unions
2016-08-31,2016,8,2017,3204702.512820721,Banking & Credit Unions
2016-09-30,2016,9,2017,2846811.5900601274,Banking & Credit Unions
2016-10-31,2016,10,2017,3379631.024054524,Banking & Credit Unions
2016-11-30,2016,11,2017,2929693.968668307,Banking & Credit Unions
2016-12-31,2016,12,2017,2736639.2485457845,Banking & Credit Unions
2017-01-31,2017,1,2017,4272935.270276852,Banking & Credit Unions
2017-02-28,2017,2,2017,3044020.111046433,Banking & Credit Unions
2017-03-31,2017,3,2017,3441224.374761706,Banking & Credit Unions
2017-04-30,2017,4,2017,3538453.3559535737,Banking & Credit Unions
2017-05-31,2017,5,2017,3316809.011009543,Banking & Credit Unions
2017-06-30,2017,6,2017,2890431.007427908,Banking & Credit Unions
2017-07-31,2017,7,2018,3386383.238241141,Banking & Credit Unions
2017-08-31,2017,8,2018,3116480.133230451,Banking & Credit Unions
2017-09-30,2017,9,2018,2944538.573459775,Banking & Credit Unions
2017-10-31,2017,10,2018,3480892.6121869236,Banking & Credit Unions
2017-11-30,2017,11,2018,3028987.538185487,Banking & Credit Unions
2017-12-31,2017,12,2018,2862174.067308843,Banking & Credit Unions
2018-01-31,2018,1,2018,4233009.402232768,Banking & Credit Unions
2018-02-28,2018,2,2018,3059435.4791568946,Banking & Credit Unions
2018-03-31,2018,3,2018,3436164.2147983164,Banking & Credit Unions
2018-04-30,2018,4,2018,3817805.5482362513,Banking & Credit Unions
2018-05-31,2018,5,2018,3181179.927434848,Banking & Credit Unions
2018-06-30,2018,6,2018,2878341.129489829,Banking & Credit Unions
2018-07-31,2018,7,2019,3546723.766579309,Banking & Credit Unions
2018-08-31,2018,8,2019,2949620.2587212822,Banking & Credit Unions
2018-09-30,2018,9,2019,2983526.117058111,Banking & Credit Unions
2018-10-31,2018,10,2019,3517451.466503451,Banking & Credit Unions
2018-11-30,2018,11,2019,3077903.086239943,Banking & Credit Unions
2018-12-31,2018,12,2019,2944381.129019651,Banking & Credit Unions
2019-01-31,2019,1,2019,4134765.9538055095,Banking & Credit Unions
2019-02-28,2019,2,2019,3043449.398291467,Banking & Credit Unions
2019-03-31,2019,3,2019,3404410.8927750364,Banking & Credit Unions
2019-04-30,2019,4,2019,4072974.038957677,Banking & Credit Unions
2019-05-31,2019,5,2019,3026369.075106172,Banking & Credit Unions
2019-06-30,2019,6,2019,2861765.7313608155,Banking & Credit Unions
2019-07-31,2019,7,2020,3721198.102734109,Banking & Credit Unions
2019-08-31,2019,8,2020,2792023.025587358,Banking & Credit Unions
2019-09-30,2019,9,2020,3037955.131328731,Banking & Credit Unions
2019-10-31,2019,10,2020,3569745.5275507844,Banking & Credit Unions
2019-11-30,2019,11,2020,3140157.6386530334,Banking & Credit Unions
2019-12-31,2019,12,2020,3037276.3442126187,Banking & Credit Unions
2020-01-31,2020,1,2020,4050590.2233491233,Banking & Credit Unions
2020-02-29,2020,2,2020,3143328.773825954,Banking & Credit Unions
2020-03-31,2020,3,2020,3562291.7398072532,Banking & Credit Unions
2020-04-30,2020,4,2020,3354959.2968913103,Banking & Credit Unions
2020-05-31,2020,5,2020,3529485.9094368126,Banking & Credit Unions
2020-06-30,2020,6,2020,2962066.9522383735,Banking & Credit Unions
2020-07-31,2020,7,2021,3305953.735291187,Banking & Credit Unions
2020-08-31,2020,8,2021,3362971.5323686153,Banking & Credit Unions
2020-09-30,2020,9,2021,2980914.4276189143,Banking & Credit Unions
2020-10-31,2020,10,2021,3530919.0079824883,Banking & Credit Unions
2020-11-30,2020,11,2021,3054236.27068406,Banking & Credit Unions
2020-12-31,2020,12,2021,2846636.2848756523,Banking & Credit Unions
2021-01-31,2021,1,2021,4434838.052398684,Banking & Credit Unions
2021-02-28,2021,2,2021,3153056.2447871114,Banking & Credit Unions
2021-03-31,2021,3,2021,3556651.2838166445,Banking & Credit Unions
2021-04-30,2021,4,2021,3649383.2529436382,Banking & Credit Unions
2021-05-31,2021,5,2021,3413344.544449286,Banking & Credit Unions
2021-06-30,2021,6,2021,2968309.532589277,Banking & Credit Unions
2021-07-31,2021,7,2022,3460403.303179277,Banking & Credit Unions
2021-08-31,2021,8,2022,3184477.466096861,Banking & Credit Unions
2021-09-30,2021,9,2022,3008671.87722959,Banking & Credit Unions
2021-10-31,2021,10,2022,3556574.0643853922,Banking & Credit Unions
2021-11-30,2021,11,2022,3094731.054449503,Banking & Credit Unions
2021-12-31,2021,12,2022,2924187.058027138,Banking & Credit Unions
2022-01-31,2022,1,2022,4324593.980348836,Banking & Credit Unions
2022-02-28,2022,2,2022,3125544.3902446176,Banking & Credit Unions
2022-03-31,2022,3,2022,3510319.206787689,Banking & Credit Unions
2022-04-30,2022,4,2022,3900095.2868075734,Banking & Credit Unions
2022-05-31,2022,5,2022,3249660.516305315,Banking & Credit Unions
2022-06-30,2022,6,2022,2940265.242188194,Banking & Credit Unions
2022-07-31,2022,7,2023,3615424.8497504513,Banking & Credit Unions
2022-08-31,2022,8,2023,3006724.436785444,Banking & Credit Unions
2022-09-30,2022,9,2023,3041256.550109306,Banking & Credit Unions
2022-10-31,2022,10,2023,3585476.5047239033,Banking & Credit Unions
2022-11-30,2022,11,2023,3137401.4305677232,Banking & Credit Unions
2022-12-31,2022,12,2023,3001272.571506343,Banking & Credit Unions
2023-01-31,2023,1,2023,4214621.836093131,Banking & Credit Unions
2023-02-28,2023,2,2023,3102204.3204062553,Banking & Credit Unions
2023-03-31,2023,3,2023,3470104.537142608,Banking & Credit Unions
2023-04-30,2023,4,2023,4151534.254123951,Banking & Credit Unions
2023-05-31,2023,5,2023,3084715.773374029,Banking & Credit Unions
2023-06-30,2023,6,2023,2916914.8105011284,Banking & Credit Unions
2023-07-31,2023,7,2024,3743634.745303855,Banking & Credit Unions
2023-08-31,2023,8,2024,2808833.2885969384,Banking & Credit Unions
2023-09-30,2023,9,2024,3056220.8579688566,Banking & Credit Unions
2023-10-31,2023,10,2024,3591178.016009558,Banking & Credit Unions
2023-11-30,2023,11,2024,3158984.8589722263,Banking & Credit Unions
2023-12-31,2023,12,2024,3055460.707861776,Banking & Credit Unions
2024-01-31,2024,1,2024,4074806.691347258,Banking & Credit Unions
2024-02-29,2024,2,2024,3162096.028690473,Banking & Credit Unions
2024-03-31,2024,3,2024,3583529.975127306,Banking & Credit Unions
2024-04-30,2024,4,2024,3374933.7052678955,Banking & Credit Unions
2024-05-31,2024,5,2024,3550469.2880712454,Banking & Credit Unions
2024-06-30,2024,6,2024,2979652.499013882,Banking & Credit Unions
2024-07-31,2024,7,2025,3331190.606596734,Banking & Credit Unions
2024-08-31,2024,8,2025,3388615.000671084,Banking & Credit Unions
2024-09-30,2024,9,2025,3003620.0516510485,Banking & Credit Unions
2024-10-31,2024,10,2025,3557783.9724270725,Banking & Credit Unions
2024-11-30,2024,11,2025,3077449.2702159486,Banking & Credit Unions
2024-12-31,2024,12,2025,2868247.2888147016,Banking & Credit Unions
2025-01-31,2025,1,2025,4468468.6765871,Banking & Credit Unions
2025-02-28,2025,2,2025,3176942.605351818,Banking & Credit Unions
2025-03-31,2025,3,2025,3583564.9900637968,Banking & Credit Unions
2025-04-30,2025,4,2025,3676968.7750197276,Banking & Credit Unions
2025-05-31,2025,5,2025,3439116.98592458,Banking & Credit Unions
2025-06-30,2025,6,2025,2990697.4597116658,Banking & Credit Unions
2013-07-31,2013,7,2014,4025009.224192052,Construction
2013-08-31,2013,8,2014,3792132.263679006,Construction
2013-09-30,2013,9,2014,3621214.179942339,Construction
2013-10-31,2013,10,2014,4289579.881900285,Construction
2013-11-30,2013,11,2014,3764281.4543907256,Construction
2013-12-31,2013,12,2014,3557348.7025761185,Construction
2014-01-31,2014,1,2014,5272954.757279813,Construction
2014-02-28,2014,2,2014,3810751.244565835,Construction
2014-03-31,2014,3,2014,4347803.650231035,Construction
2014-04-30,2014,4,2014,4825026.628978889,Construction
2014-05-31,2014,5,2014,4082714.116475478,Construction
2014-06-30,2014,6,2014,3669893.806105457,Construction
2014-07-31,2014,7,2015,4882804.93162914,Construction
2014-08-31,2014,8,2015,4069823.5747262123,Construction
2014-09-30,2014,9,2015,4133631.6178868287,Construction
2014-10-31,2014,10,2015,4895364.364975694,Construction
2014-11-30,2014,11,2015,4270876.668469475,Construction
2014-12-31,2014,12,2015,4132511.432189086,Construction
2015-01-31,2015,1,2015,5917408.581624193,Construction
2015-02-28,2015,2,2015,4199423.502612824,Construction
2015-03-31,2015,3,2015,4820163.266880982,Construction
2015-04-30,2015,4,2015,5795650.739658721,Construction
2015-05-31,2015,5,2015,4356150.991442689,Construction
2015-06-30,2015,6,2015,4028311.4637536844,Construction
2015-07-31,2015,7,2016,5801183.257296004,Construction
2015-08-31,2015,8,2016,4277772.91011053,Construction
2015-09-30,2015,9,2016,4646528.13902683,Construction
2015-10-31,2015,10,2016,5499641.416497413,Construction
2015-11-30,2015,11,2016,4771891.924124395,Construction
2015-12-31,2015,12,2016,4723380.352921581,Construction
2016-01-31,2016,1,2016,6537062.015209735,Construction
2016-02-29,2016,2,2016,5012949.531520488,Construction
2016-03-31,2016,3,2016,5643754.994909259,Construction
2016-04-30,2016,4,2016,5216212.724696077,Construction
